Ticker,Company,ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,CDP Score,Sustainability Score,title,quote,current_price,day_range,year_range,market_cap,revenue,website,net_income,news1,news2
PFG,Principal Financial Group,17,0.7,6.7,9.9,1,B,40,Principal Financial Group Inc,PFG:NASDAQ,$76.95 ,$76.36 - $77.45,$65.17 - $96.17,18.60B USD,3.56B,principal.com,388.80M,https://www.marketwatch.com/data-news/principal-financial-group-inc-stock-rises-thursday-outperforms-market-e67c6aec-75e8cbcec9e8,https://www.investorsobserver.com/news/stock-update/how-does-principal-financial-group-inc-pfg-stock-rank-on-wall-street-thursday
PG,Procter & Gamble,27,9.5,9.6,7.5,3,A-,59,Procter & Gamble Co,PG:NYSE,$153.47 ,$153.23 - $155.32,$122.18 - $158.38,361.71B USD,20.55B,pginvestor.com,3.38B,https://www.bizjournals.com/cincinnati/news/2023/09/14/fda-procter-and-gamble-dayquil-vicks-class-action.html,https://www.fool.com/investing/2023/09/14/best-dividend-stocks-coca-cola-vs-procter-gamble/
PGR,Progressive Corporation,21,1.7,8.4,10.9,1,-,13,Progressive Corp,PGR:NYSE,$138.74 ,$134.34 - $139.72,$110.04 - $149.87,81.18B USD,15.35B,progressive.com,345.40M,https://beststocks.com/progressive-corp-reports-impressive-financial/,https://www.smartkarma.com/home/newswire/earnings-alerts/upward-trend-in-progressive-corp-pgr-earnings-aug-combined-ratio-and-net-premiums-show-significant-increase-y-y/
PLD,Prologis,9,2.5,1.7,4.3,1,B,37,Prologis Inc,PLD:NYSE,$123.18 ,$121.87 - $123.30,$98.03 - $136.67,113.80B USD,2.52B,prologis.com,1.22B,https://www.marketbeat.com/instant-alerts/nyse-pld-consensus-analyst-rating-2023-09-15/,https://beststocks.com/prologis-pld-stock-a-decade-of-remarkable-gro/
PRU,Prudential Financial,16,1,6.6,8.6,1,B,39,Prudential Financial Inc,PRU:NYSE,$98.69 ,$98.16 - $99.46,$75.37 - $110.96,35.82B USD,13.50B,prudential.com,511.00M,https://seekingalpha.com/news/4011836-prudential-financial-raised-to-hold-at-jefferies-as-life-insurance-outlook-brightens,https://www.insurancebusinessmag.com/asia/news/breaking-news/prudential-shuts-down-singapore-wealth-management-arm-459761.aspx
PEG,Public Service Enterprise Group,26,11.6,9.3,5.5,2,-,22,Public Service Enterprise Group Inc.,PEG:NYSE,$61.35 ,$61.13 - $61.99,$52.51 - $66.75,30.62B USD,2.42B,pseg.com,591.00M,https://www.nj.com/news/2023/09/pseg-picked-up-my-refrigerator-and-scratched-the-floor-homeowner-says-will-anyone-pay-to-fix-it.html,-
PTC,PTC,19,4.9,8.6,5.4,0,-,6,PTC Inc,PTC:NASDAQ,$141.45 ,$140.19 - $142.08,$101.82 - $152.09,16.81B USD,542.34M,ptc.com,61.40M,-,-
PSA,Public Storage,12,4.5,2.5,5.2,1,C,32,Public Storage Operating Co,PSA:NYSE,$274.11 ,$273.53 - $277.61,$266.01 - $316.48,48.20B USD,1.13B,publicstorage.com,578.03M,https://www.marketwatch.com/data-news/public-storage-stock-outperforms-market-despite-losses-on-the-day-1e5c3008-40271dab031d,https://www.marketwatch.com/data-news/public-storage-stock-outperforms-market-on-strong-trading-day-695b009e-51b2a6f30ef1
PHM,PulteGroup,21,8.7,7.3,4.9,2,-,20,"PulteGroup, Inc.",PHM:NYSE,$76.27 ,$75.03 - $77.00,$35.99 - $86.16,16.74B USD,4.19B,pultegroup.com,720.34M,-,-
QRVO,Qorvo,29,13.1,8.5,7.5,0,C-,29,Qorvo Inc,QRVO:NASDAQ,$95.93 ,$95.17 - $97.00,$75.38 - $114.59,9.39B USD,651.16M,qorvo.com,-43.58M,https://www.marketwatch.com/data-news/qorvo-inc-stock-rises-thursday-outperforms-market-e03375fa-0bf229f67545,https://www.investorsobserver.com/news/stock-update/do-analysts-expect-qorvo-inc-qrvo-stock-to-rise-after-it-is-lower-by-3-87-in-a-month
